Included in dataset,Reason for non-inclusion,Myrmecomorphy?,Imperfect mimicry?,Mimic taxon,Mimic order,Mimic class,Model taxon,Model order,Model class,Common rank,Operator,Title,Authors,Corporate Authors,Editors,Book Editors,Source Title,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Beginning Page,Ending Page,Article Number,DOI,Conference Title,Conference Date,Total Citations,Average per Year
no,Can't locate article,,,,,,,,,,,Insect pigmentation: Enzyme activities in wing color pattern mutation in the swallowtail butterfly Papilio glaucus,"Koch, Paul B.; Behnecke, Bettina; Weigmann-Lenz, Marga; Ffrench-Constant, Richard H.",,,,Pigment Cell Research,1999,1999,,SUPPL. 7,,,,34,35,,,XVIIth International Pigment Cell Conference,"October 30-November 3, 1999",0,0
no,Can't locate article,,,,,,,,,,,"Convergent development of color patterns in butterflies: Field studies in Asia, Africa, and South America","Winhard, Walter",,,,Spixiana Supplement,1996,1996,0,21,,,,1,192,,,,,0,0
no,Not about mimicry,,,,,,,,,,,The Functional Significance of Aposematic Signals: Geographic Variation in the Responses of Widespread Lizard Predators to Colourful Invertebrate Prey,"Tseng, Hui-Yun; Lin, Chung-Ping; Hsu, Jung-Ya; Pike, David A.; Huang, Wen-San",,,,PLOS ONE,MAR 10 2014,2014,9,3,,,,,,e91777,10.1371/journal.pone.0091777,,,3,0.75
no,Review,,,,,,,,,,,Female-limited mimetic polymorphism: a review of theories and a critique of sexual selection as balancing selection,"Kunte, Krushnamegh",,,,ANIMAL BEHAVIOUR,Nov-09,2009,78,5,,,,1029,1036,,10.1016/j.anbehav.2009.08.013,,,27,3
no,Theoretical and review,,,,,,,,,,,ARE WARNING COLORS HANDICAPS,"GUILFORD, T; DAWKINS, MS",,,,EVOLUTION,Apr-93,1993,47,2,,,,400,416,,10.2307/2410060,,,43,1.72
yes,,,,Limenitis archippus,Lepidoptera,Insecta,"Danaus plexippus, Danaus gilippus",Lepidoptera,Insecta,Family (Nymphalidae),Predator/red-winged blackbird,THE VICEROY BUTTERFLY IS NOT A BATESIAN MIMIC,"RITLAND, DB; BROWER, LP",,,,NATURE,APR 11 1991,1991,350,6318,,,,497,498,,10.1038/350497a0,,,52,1.93
no,Review,,,,,,,,,,,Incorporating motion into investigations of mimicry,"Srygley, RB",,,,EVOLUTIONARY ECOLOGY,1999,1999,13,07-Aug,,,,691,708,,10.1023/A:1011046202928,,,17,0.89
no,Review,,,,,,,,,,,Alfred Russel Wallace and the Darwinian Species Concept: His Paper on the Swallowtail Butterflies (Papilionidae) of 1865,"Mallet, James",,,,GAYANA,2009,2009,73,,,S,,42,54,,,,,2,0.22
no,Not about mimicry,,,,,,,,,,,"Sequestration of aristolochic acids by the pipevine swallowtail, Battus philenor (L.): evidence and ecological implications","Sime, KR; Feeny, PP; Haribal, MM",,,,CHEMOECOLOGY,2000,2000,10,4,,,,169,178,,10.1007/PL00001819,,,43,2.39
yes,,,,Plagiotremus rhinorhynchos,Perciformes,Actinopterygii,Labroides dimidiatus,Perciformes,Actinopterygii,Order (Perciformes),Prey/damselfish,The role of avoidance learning in an aggressive mimicry system,"Cheney, Karen L.",,,,BEHAVIORAL ECOLOGY,MAY-JUN 2008,2008,19,3,,,,583,588,,10.1093/beheco/arn001,,,5,0.5
yes,,,,Cleroidea ,Coleoptera,Insecta,"Hymenoptera, Coleoptera","Hymenoptera, Coleoptera",Insecta,Class (Insecta),Predator,Aposematism and mimicry in soft-bodied beetles of the superfamily Cleroidea (Insecta),"Bocakova, Milada; Bocak, Ladislav; Gimmel, Matthew L.; Motyka, Michal; Vogler, Alfried P.",,,,ZOOLOGICA SCRIPTA,Jan-16,2016,45,1,,,,9,21,,10.1111/zsc.12132,,,0,0
no,Not about mimcry,,,,,,,,,,,Effects of epistasis on phenotypic robustness in metabolic pathways,"Bagheri, HC; Hermisson, J; Vaisnys, JR; Wagner, GP",,,,MATHEMATICAL BIOSCIENCES,Jul-03,2003,184,1,,,,27,51,,10.1016/S0025-5564(03)00057-9,,,16,1.07
no,Theoretical,,,,,,,,,,,Learning and the mimicry spectrum: from quasi-Bates to super-Muller,"Balogh, Alexandra C. V.; Gamberale-Stille, Gabriella; Leimar, Olof",,,,ANIMAL BEHAVIOUR,Nov-08,2008,76,,5,,,1591,1599,,10.1016/j.anbehav.2008.07.017,,,8,0.8
